[2025-05-12 21:50:00] PID 16 | 164.29 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:51:00] 📊 Всего Python-памяти: 1237.32 MB
[2025-05-12 21:51:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:51:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:51:00] PID 9 | 164.64 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:51:00] PID 10 | 150.49 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:51:00] PID 11 | 156.62 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:51:00] PID 12 | 136.99 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:51:00] PID 13 | 144.39 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:51:00] PID 14 | 150.37 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:51:00] PID 15 | 145.59 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:51:00] PID 16 | 164.30 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:52:00] 📊 Всего Python-памяти: 1244.54 MB
[2025-05-12 21:52:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:52:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:52:00] PID 9 | 167.04 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:52:00] PID 10 | 152.75 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:52:00] PID 11 | 156.42 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:52:00] PID 12 | 137.50 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:52:00] PID 13 | 144.39 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:52:00] PID 14 | 152.62 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:52:00] PID 15 | 145.59 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:52:00] PID 16 | 164.30 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:53:00] 📊 Всего Python-памяти: 1247.21 MB
[2025-05-12 21:53:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:53:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:53:00] PID 9 | 166.98 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:53:00] PID 10 | 152.75 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:53:00] PID 11 | 156.64 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:53:00] PID 12 | 137.50 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
